city,race,grade,perc
Baltimore,Asian,A,43
Baltimore,Asian,B,0
Baltimore,Asian,C,0
Baltimore,Asian,D,57
Baltimore,Black,A,0
Baltimore,Black,B,65
Baltimore,Black,C,30
Baltimore,Black,D,5
Baltimore,Hispanic,A,0
Baltimore,Hispanic,B,0
Baltimore,Hispanic,C,50
Baltimore,Hispanic,D,50
Baltimore,White,A,17
Baltimore,White,B,0
Baltimore,White,C,17
Baltimore,White,D,67
Philly,Asian,A,4
Philly,Asian,B,45
Philly,Asian,C,7
Philly,Asian,D,45
Philly,Black,A,8
Philly,Black,B,57
Philly,Black,C,24
Philly,Black,D,12
Philly,Hispanic,A,0
Philly,Hispanic,B,58
Philly,Hispanic,C,22
Philly,Hispanic,D,20
Philly,White,A,2
Philly,White,B,5
Philly,White,C,19
Philly,White,D,74
NYC,Asian,A,1
NYC,Asian,B,19
NYC,Asian,C,66
NYC,Asian,D,14
NYC,Black,A,0
NYC,Black,B,8
NYC,Black,C,28
NYC,Black,D,64
NYC,Hispanic,A,2
NYC,Hispanic,B,13
NYC,Hispanic,C,61
NYC,Hispanic,D,24
NYC,White,A,0
NYC,White,B,18
NYC,White,C,19
NYC,White,D,63
Boston,Asian,A,0
Boston,Asian,B,0
Boston,Asian,C,60
Boston,Asian,D,40
Boston,Black,A,0
Boston,Black,B,13
Boston,Black,C,75
Boston,Black,D,12
Boston,Hispanic,A,0
Boston,Hispanic,B,0
Boston,Hispanic,C,73
Boston,Hispanic,D,27
Boston,White,A,0
Boston,White,B,0
Boston,White,C,0
Boston,White,D,100
